url,depth,title,topic,word_count,char_count,page_text
https://www.asu.edu/,0,ASU Homepage | Arizona State University,International Student Support,417,2705,"Through high-level support including workshops, advising and interview prep, ASU helps to place its talented students and faculty into the prestigious international exchange program. We are measured not by whom we exclude, but by   and  As a comprehensive public research university, ASU is committed to providing excellence in education through the Academic Enterprise, and enables the success of each unique student and increases access to higher education for all. As ASU focuses on research and discovery of public value, the Knowledge Enterprise advances research, innovation, strategic partnerships, entrepreneurship, technology transfer and international development. Assuming fundamental responsibility for the communities it serves, ASU's Learning Enterprise aims to serve all learners at every stage of life by providing high quality, accessible and affordable learning opportunities to everyone. At Arizona State University, you'll join a community that will help you explore your interests and learn new skills. Through quality academics, enrichment opportunities and support from friends and faculty, you'll graduate prepared to accomplish your goals throughout your life.   that fits you. ASU has teamed up with the American Association for the Advancement of Science to create a model for how science can move forward to impact public policy for the benefit of all people. Graduate students pursuing a career in semiconductors can gain a new understanding of microchip production through an ASU course that uses extended reality. ASU athletes are excelling in the classroom as well as on the field, with at least 100 of them earning a 4.00 cumulative or semester GPA for the eighth straight semester. The Polytechnic School — one of the Ira A. Fulton Schools of Engineering — was launched a decade ago and has since added more than 20 new degree programs to prepare students for their futures. Senior Jordan Harb is one of just 3% of applicants awarded the Schwarzman Scholarship, which offers recipients a one-year master’s program studying global affairs in  An ASU researcher and his team are working to produce radiation-resistant stem cells that would help keep astronauts from developing cancer or degenerative disorders brought on by space travel. Ambition, curiosity, creativity and passion don't fit in any one box. No matter who you are or how you learn, ASU is ready to serve learners at every stage of life. ASU for You is the first step in a larger movement — a movement that's breaking down education barriers and building up high quality, affordable and accessible learning opportunities for everyone, from K-12 to midcareer to postretirement and every individual in between."
https://www.asu.edu/rankings,1,ASU rankings | Arizona State University,ASU’s Commitment to Sustainability,42,330,"Recognized globally as a leading knowledge enterprise, Arizona State University is dedicated to delivering academic excellence, advancing research-based solutions for humankind’s greatest challenges, producing strong and compassionate leaders, ensuring the health of our planet and providing quality education for all learners.  ."
https://www.asu.edu/#nav-in-person,1,ASU Homepage | Arizona State University,International Student Support,417,2705,"Through high-level support including workshops, advising and interview prep, ASU helps to place its talented students and faculty into the prestigious international exchange program. We are measured not by whom we exclude, but by   and  As a comprehensive public research university, ASU is committed to providing excellence in education through the Academic Enterprise, and enables the success of each unique student and increases access to higher education for all. As ASU focuses on research and discovery of public value, the Knowledge Enterprise advances research, innovation, strategic partnerships, entrepreneurship, technology transfer and international development. Assuming fundamental responsibility for the communities it serves, ASU's Learning Enterprise aims to serve all learners at every stage of life by providing high quality, accessible and affordable learning opportunities to everyone. At Arizona State University, you'll join a community that will help you explore your interests and learn new skills. Through quality academics, enrichment opportunities and support from friends and faculty, you'll graduate prepared to accomplish your goals throughout your life.   that fits you. ASU has teamed up with the American Association for the Advancement of Science to create a model for how science can move forward to impact public policy for the benefit of all people. Graduate students pursuing a career in semiconductors can gain a new understanding of microchip production through an ASU course that uses extended reality. ASU athletes are excelling in the classroom as well as on the field, with at least 100 of them earning a 4.00 cumulative or semester GPA for the eighth straight semester. The Polytechnic School — one of the Ira A. Fulton Schools of Engineering — was launched a decade ago and has since added more than 20 new degree programs to prepare students for their futures. Senior Jordan Harb is one of just 3% of applicants awarded the Schwarzman Scholarship, which offers recipients a one-year master’s program studying global affairs in  An ASU researcher and his team are working to produce radiation-resistant stem cells that would help keep astronauts from developing cancer or degenerative disorders brought on by space travel. Ambition, curiosity, creativity and passion don't fit in any one box. No matter who you are or how you learn, ASU is ready to serve learners at every stage of life. ASU for You is the first step in a larger movement — a movement that's breaking down education barriers and building up high quality, affordable and accessible learning opportunities for everyone, from K-12 to midcareer to postretirement and every individual in between."
https://www.asu.edu/#nav-online,1,ASU Homepage | Arizona State University,International Student Support,417,2705,"Through high-level support including workshops, advising and interview prep, ASU helps to place its talented students and faculty into the prestigious international exchange program. We are measured not by whom we exclude, but by   and  As a comprehensive public research university, ASU is committed to providing excellence in education through the Academic Enterprise, and enables the success of each unique student and increases access to higher education for all. As ASU focuses on research and discovery of public value, the Knowledge Enterprise advances research, innovation, strategic partnerships, entrepreneurship, technology transfer and international development. Assuming fundamental responsibility for the communities it serves, ASU's Learning Enterprise aims to serve all learners at every stage of life by providing high quality, accessible and affordable learning opportunities to everyone. At Arizona State University, you'll join a community that will help you explore your interests and learn new skills. Through quality academics, enrichment opportunities and support from friends and faculty, you'll graduate prepared to accomplish your goals throughout your life.   that fits you. ASU has teamed up with the American Association for the Advancement of Science to create a model for how science can move forward to impact public policy for the benefit of all people. Graduate students pursuing a career in semiconductors can gain a new understanding of microchip production through an ASU course that uses extended reality. ASU athletes are excelling in the classroom as well as on the field, with at least 100 of them earning a 4.00 cumulative or semester GPA for the eighth straight semester. The Polytechnic School — one of the Ira A. Fulton Schools of Engineering — was launched a decade ago and has since added more than 20 new degree programs to prepare students for their futures. Senior Jordan Harb is one of just 3% of applicants awarded the Schwarzman Scholarship, which offers recipients a one-year master’s program studying global affairs in  An ASU researcher and his team are working to produce radiation-resistant stem cells that would help keep astronauts from developing cancer or degenerative disorders brought on by space travel. Ambition, curiosity, creativity and passion don't fit in any one box. No matter who you are or how you learn, ASU is ready to serve learners at every stage of life. ASU for You is the first step in a larger movement — a movement that's breaking down education barriers and building up high quality, affordable and accessible learning opportunities for everyone, from K-12 to midcareer to postretirement and every individual in between."
https://www.asu.edu/#carouselExampleControls,1,ASU Homepage | Arizona State University,International Student Support,417,2705,"Through high-level support including workshops, advising and interview prep, ASU helps to place its talented students and faculty into the prestigious international exchange program. We are measured not by whom we exclude, but by   and  As a comprehensive public research university, ASU is committed to providing excellence in education through the Academic Enterprise, and enables the success of each unique student and increases access to higher education for all. As ASU focuses on research and discovery of public value, the Knowledge Enterprise advances research, innovation, strategic partnerships, entrepreneurship, technology transfer and international development. Assuming fundamental responsibility for the communities it serves, ASU's Learning Enterprise aims to serve all learners at every stage of life by providing high quality, accessible and affordable learning opportunities to everyone. At Arizona State University, you'll join a community that will help you explore your interests and learn new skills. Through quality academics, enrichment opportunities and support from friends and faculty, you'll graduate prepared to accomplish your goals throughout your life.   that fits you. ASU has teamed up with the American Association for the Advancement of Science to create a model for how science can move forward to impact public policy for the benefit of all people. Graduate students pursuing a career in semiconductors can gain a new understanding of microchip production through an ASU course that uses extended reality. ASU athletes are excelling in the classroom as well as on the field, with at least 100 of them earning a 4.00 cumulative or semester GPA for the eighth straight semester. The Polytechnic School — one of the Ira A. Fulton Schools of Engineering — was launched a decade ago and has since added more than 20 new degree programs to prepare students for their futures. Senior Jordan Harb is one of just 3% of applicants awarded the Schwarzman Scholarship, which offers recipients a one-year master’s program studying global affairs in  An ASU researcher and his team are working to produce radiation-resistant stem cells that would help keep astronauts from developing cancer or degenerative disorders brought on by space travel. Ambition, curiosity, creativity and passion don't fit in any one box. No matter who you are or how you learn, ASU is ready to serve learners at every stage of life. ASU for You is the first step in a larger movement — a movement that's breaking down education barriers and building up high quality, affordable and accessible learning opportunities for everyone, from K-12 to midcareer to postretirement and every individual in between."
https://www.asu.edu/about/spanish,1,"At ASU, sí se puede | Arizona State University",ASU’s Commitment to Sustainability,490,3111,"ASU es una universidad pública dedicada a la labor de investigación científica integral, que  ; por avanzar la investigación y los descubrimientos con beneficio público; y por asumir, como su responsabilidad fundamental, el bienestar económico, social, cultural y general de  . 
 
– ASU Charter ASU es una universidad integral dedicada a la investigación para el sector público que   fomenta la investigación y el descubrimiento del valor público, y asume la responsabilidad fundamental de la salud económica, social, cultural y general de l 
– Carta constitutiva de ASU Con programas de primerísimo nivel, profesores expertos y un programa universitario de honores reconocido en todo el país, la experiencia académica de ASU prepara a los estudiantes para un futuro significativo y exitoso. Las oportunidades que los Sun Devils tienen de participar en investigaciones, proyectos y competencias avanzadas les permiten dejar su marca en el mundo. Así como crece la comunidad de estudiantes latinos de ASU, también crece nuestra capacidad de influir en el futuro de tantas familias orgullosas. Ya sea que esté planeando tomar clases en persona, en línea o según una modalidad mixta, ASU ofrece opciones para satisfacer sus necesidades. La universidad es una importante inversión en su futuro que le rendirá frutos por el resto de su vida. Hay numerosas opciones en lo que se refiere a asistencia financiera, y ASU está aquí para ayudarlo a saber cuáles son sus opciones. ASU ofrece muchos programas concebidos para ayudar a los estudiantes y a sus familias a prepararse para la inscripción en ASU. Consulte una lista completa de programas e iniciativas de Access ASU, algunos de cuales comienzan desde la escuela preparatoria. A continuación, detallamos algunos de ellos: Como estudiante de ASU, usted colaborará y aprenderá con compañeros de todo el mundo con los mismos intereses de especialización o carrera, y recibirá apoyo académico por medio de la ayuda entre pares, un servicio de mentoría y un horario de atención de los profesores. Su participación y los lazos que establezca con las conexiones que hará a lo largo del recorrido no solo le darán dinamismo a su experiencia estudiantil, sino que lo ayudarán a moldear su futuro mucho más allá del día de graduación. ASU brinda a las familias de los futuros Sun Devils los recursos y el apoyo que necesitan para tomar decisiones fundamentadas y desarrollar conexiones para mantener el compromiso durante todo el recorrido académico. Regístrese en el  para recibir comunicaciones oficiales de la universidad e invitaciones a eventos relevantes para el estudiante y sus intereses. Cuando se inscriba, puede indicar si prefiere recibir comunicaciones en español si están disponibles. El sitio es totalmente compatible con los servicios de traducción del navegador de Internet.    ofrece a los estudiantes y sus familias más información sobre lo que se puede lograr con un título de ASU. Obtenga más información sobre la experiencia académica, las ubicaciones de los campus y las oportunidades que tienen los Sun Devils de personalizar su recorrido académico."
https://www.asu.edu/academics,1,ASU Academics | Arizona State University,Academic Programs & Courses,463,3078,"As the New American University, ASU offers a world-class academic experience designed for the 21st century learner. At Arizona State University, you will experience a transformative academic journey that will shape your future. You’ll be part of an academically excellent community where your ideas drive your college experience. The people you learn alongside will bring perspectives and life experiences from across the globe, which will prepare you to succeed in the 21st century. Through academic instruction led by some of the world’s top professors, you’ll master the art of learning while being part of the university’s most significant and meaningful endeavors. Ultimately, you’ll graduate with the tools and mindset you need to live a personally fulfilling life. With more than 400 undergraduate degrees and more than 450 graduate degrees led by an expert faculty in highly ranked colleges and schools, students become master learners through an interdisciplinary approach to instruction, capable of learning anything.   At ASU, you can customize how you learn, what you learn and the speed at which you learn so that you can design an academic experience that is uniquely your own. This innovative approach has the world taking notice — with learners joining us from around the globe — and national and international rankings placing ASU as a top destination for forward-thinking students and scholars. Select Section ahead of MIT and Stanford, according to U.S. News & World Report. A top university worldwide for academic reputation – Times Higher Education. for global impact in research, outreach and stewardship, according to Times Higher Education. students enroll at ASU annually. undergraduate and graduate degree programs for students to choose from, including accelerated degrees, dual majors, and accelerated master’s pathways. student to faculty ratio to ensure that students receive the individualized support they need to achieve success and master the art of learning.   From engineering, journalism and business to sustainability, nursing, education and beyond, ASU offers  Each school offers specialized programming and advising, research opportunities, and an outstanding academic experience designed to prepare you for the next step in your life. And if you’re not sure what you want to study, we have programs to help you figure it out. ASU students learn alongside professors and researchers across the university as they explore innovative ideas and make groundbreaking discoveries. These game-changers and academic mentors include Nobel laureates and other leaders in their fields, providing students access to some of the brightest minds in academia. The Academic Enterprise is led by a community of creative and impassioned scholars and higher education innovators. In our research and scholarship, we advance new knowledge that benefits the world. In our teaching, mentorship and design of diverse learning experiences, we prepare our students to achieve their goals and contribute their talents to an ever-changing, globally connected world."
https://www.asu.edu,1,ASU Homepage | Arizona State University,International Student Support,417,2705,"Through high-level support including workshops, advising and interview prep, ASU helps to place its talented students and faculty into the prestigious international exchange program. We are measured not by whom we exclude, but by   and  As a comprehensive public research university, ASU is committed to providing excellence in education through the Academic Enterprise, and enables the success of each unique student and increases access to higher education for all. As ASU focuses on research and discovery of public value, the Knowledge Enterprise advances research, innovation, strategic partnerships, entrepreneurship, technology transfer and international development. Assuming fundamental responsibility for the communities it serves, ASU's Learning Enterprise aims to serve all learners at every stage of life by providing high quality, accessible and affordable learning opportunities to everyone. At Arizona State University, you'll join a community that will help you explore your interests and learn new skills. Through quality academics, enrichment opportunities and support from friends and faculty, you'll graduate prepared to accomplish your goals throughout your life.   that fits you. ASU has teamed up with the American Association for the Advancement of Science to create a model for how science can move forward to impact public policy for the benefit of all people. Graduate students pursuing a career in semiconductors can gain a new understanding of microchip production through an ASU course that uses extended reality. ASU athletes are excelling in the classroom as well as on the field, with at least 100 of them earning a 4.00 cumulative or semester GPA for the eighth straight semester. The Polytechnic School — one of the Ira A. Fulton Schools of Engineering — was launched a decade ago and has since added more than 20 new degree programs to prepare students for their futures. Senior Jordan Harb is one of just 3% of applicants awarded the Schwarzman Scholarship, which offers recipients a one-year master’s program studying global affairs in  An ASU researcher and his team are working to produce radiation-resistant stem cells that would help keep astronauts from developing cancer or degenerative disorders brought on by space travel. Ambition, curiosity, creativity and passion don't fit in any one box. No matter who you are or how you learn, ASU is ready to serve learners at every stage of life. ASU for You is the first step in a larger movement — a movement that's breaking down education barriers and building up high quality, affordable and accessible learning opportunities for everyone, from K-12 to midcareer to postretirement and every individual in between."
https://www.asu.edu/about/locations-maps,1,Locations and Maps | Arizona State University,Research & Innovation at ASU,101,695,"Arizona State University’s reach supports local and global connections and research engagement. Arizona State University is ""one university in many places"" — four distinctive campuses throughout metropolitan Phoenix, as well as locations around the state, country and world. Each provides access to the university's strength and innovation, and all offer attributes and focuses to meet the needs of any learner.      At ASU, we are forging a new role for higher education in the world by engaging with people and issues locally, nationally and internationally. ASU offers opportunities for academic engagement, research and development, and international collaboration in more than 80 countries."
https://www.asu.edu/about/contact,1,Contact us | Arizona State University,Academic Programs & Courses,109,709,"We’re available 24/7 to answer your questions via live chat or you contact us at  . Already have an ASURITE user ID? Access ASU services and updates personalized for you through My ASU. Use the ASU directory to search for faculty and staff.    (available 24/7) Looking for the address to send test scores and transcripts?  Find enhanced maps, you can view building information, real-time parking, better wayfinding, live transit information and more. Integrated schedules include your classes, course information, rosters and check-ins. Smarter club and event integrations means you’ll know when things are happening and where. The ASU mobile app will continuously evolve to enhance your Sun Devil experience."
